pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay
5.2,1.64,0.09,0.2,7.2,16.6,0.35,1.12,40.0,40.0,20.0
4.6,4.37,0.08,0.12,21.8,6.5,0.2,0.89,40.0,40.0,20.0
4.8,2.04,0.09,0.24,6.49228,4.8,0.2,1.0,40.0,40.0,20.0
4.9,1.4,0.08,0.2,5.0,11.3,0.2,0.96,40.0,40.0,20.0
5.3,1.96,0.09,0.19,6.9,16.4,0.3,0.73,40.0,40.0,20.0
5.0,1.94,0.09,0.54,6.49228,7.98604,0.31,1.43,40.0,40.0,20.0
5.1,2.25,0.1,0.27,10.9,9.6,0.22,0.94,40.0,40.0,20.0
5.4,2.37,0.09,0.13,12.3,7.98604,0.3,0.67,40.0,40.0,20.0
4.9,2.09,0.09,0.25,15.1,9.6,0.2,1.02,40.0,40.0,20.0
4.9,2.18,0.09,0.14,7.2,11.4,0.26,1.05,40.0,40.0,20.0
4.9,1.92,0.1,0.1,5.7,16.1,0.25,0.65,40.0,40.0,20.0
5.2,2.14,0.09,0.07,5.9,11.5,0.28,0.85,40.0,40.0,20.0
5.1,1.96,0.1,0.25,6.1,14.8,0.29,0.93,40.0,40.0,20.0
5.0,1.7,0.17,0.27,11.9,10.4,0.35,0.56,40.0,40.0,20.0
5.1,1.94,0.9,0.33,19.2,9.2,0.3,0.44,40.0,40.0,20.0
4.9,2.75,0.07,0.12,2.6,7.98604,0.3,1.86,33.0,33.0,20.0
5.1,2.59,0.06,0.32,5.1,7.98604,0.32,1.11,33.0,33.0,20.0
4.9,3.19,0.07,0.12,5.0,7.98604,0.41,1.17,33.0,33.0,20.0
4.9,2.56,0.07,0.3,13.3,7.98604,0.29,1.14,33.0,33.0,20.0
5.0,1.84,0.08,0.11,7.5,11.1,0.3,0.97,33.0,33.0,20.0
4.7,2.81,0.07,0.16,17.9,5.9,0.3,1.68,33.0,33.0,20.0
4.8,2.82,0.06,0.14,8.0,12.4,0.2,1.35,33.0,33.0,20.0
4.3,4.48,0.1,0.28,6.49228,13.6,0.2,1.79,33.0,33.0,20.0
5.2,2.16,0.06,0.22,12.3,17.8,0.23,0.92,33.0,33.0,20.0
5.5,3.3,0.08,0.22,6.6,7.98604,0.46,0.9,33.0,33.0,20.0
4.9,3.01,0.08,0.13,4.7,7.98604,0.29,0.95,33.0,33.0,20.0
4.1,2.99,0.08,0.13,2.7,7.98604,0.3,0.52,33.0,33.0,20.0
5.3,2.89,0.06,0.56,10.9,7.98604,0.3,1.35,33.0,33.0,20.0
5.4,2.84,0.07,0.22,6.7,19.4,0.23,0.89,33.0,33.0,20.0
5.7,2.19,0.07,0.16,8.1,7.98604,0.34,0.58,33.0,33.0,20.0
4.9,3.58,0.08,0.1,4.3,7.98604,0.23,1.11,33.0,33.0,20.0
4.7,1.89,0.12,0.28,6.49228,10.4,0.32,0.7,33.0,33.0,20.0
5.2,2.75,0.25,0.29,5.6,7.98604,0.31,1.06,33.0,33.0,20.0
5.2,3.42,0.21,0.15,12.4,7.98604,0.34,1.04,33.0,33.0,20.0
4.8,2.34,0.22,0.35,12.4,16.0,0.3,1.09,33.0,33.0,20.0
5.3,3.49,0.2,0.37,7.0,7.98604,0.3,1.08,33.0,33.0,20.0
5.1,3.47,0.17,0.16,7.4,7.98604,0.29,0.51,33.0,33.0,20.0
5.1,1.98,0.22,0.16,9.8,14.9,0.31,0.61,33.0,33.0,20.0
5.4,3.15,0.25,0.12,2.6,7.98604,0.35,1.13,33.0,33.0,20.0
5.4,3.85,0.25,0.28,3.1,12.4,0.0882928,1.08,20.0,20.0,20.0
5.0,5.25,0.18,0.25,12.4,7.98604,0.0882928,1.45,20.0,20.0,20.0
5.1,5.06,0.2,0.28,12.8,7.98604,0.0882928,1.15,20.0,20.0,20.0
6.0,1.26,0.44981,14.2,0.26,0.4,0.35,0.35,40.0,40.0,20.0
5.9,0.69,0.04,0.18,12.8,7.98604,0.26,1.25,40.0,40.0,20.0
5.9,0.61,0.06,0.25,12.7,7.98604,0.2,0.41,40.0,40.0,20.0
6.0,0.51,0.04,0.17,13.2,7.98604,0.27,0.41,40.0,40.0,20.0
6.1,0.74,0.05,0.13,8.6,4.8,0.21,0.39,40.0,40.0,20.0
5.3,0.92,0.05,0.26,7.6,15.5,0.26,0.44,40.0,40.0,20.0
6.5,1.58,0.06,0.13,10.1,16.8,0.31,0.5,40.0,40.0,20.0
5.5,0.98,0.06,0.18,7.6,5.4,0.25,0.61,40.0,40.0,20.0
5.3,1.14,0.07,0.22,7.9,16.3,0.3,0.55,40.0,40.0,20.0
5.8,0.58,0.04,0.18,13.3,7.8,0.2,0.4,40.0,40.0,20.0
6.1,0.23,0.01,0.05,7.6,7.7,0.23,0.18,40.0,40.0,20.0
6.0,0.14,0.04,0.04,7.5,8.3,0.24,0.21,40.0,40.0,20.0
5.1,0.95,0.0016,0.46,6.49228,18.0,0.5,1.0,33.0,33.0,20.0
5.1,0.7,0.001,34.0,6.49228,12.0,0.2,1.0,33.0,33.0,20.0
5.6,1.4,0.0033,0.53,15.0,7.98604,0.2,1.14,33.0,33.0,20.0
5.4,1.7,0.0032,0.53,23.0,7.98604,0.2,1.14,33.0,33.0,20.0
5.2,0.8,0.0012,0.53,6.49228,12.0,0.2,1.0,33.0,33.0,20.0
4.9,0.2,0.0015,0.53,6.49228,7.98604,0.0882928,1.0,33.0,33.0,20.0
5.0,1.2,0.002,0.21,11.0,15.0,0.2,1.0,33.0,33.0,20.0
5.0,0.4,0.0017,0.37,15.0,16.0,0.2,1.0,33.0,33.0,20.0
5.8,0.16,0.0032,0.57,6.49228,7.98604,0.2,1.14,33.0,33.0,20.0
4.7,1.5,0.0009,0.42,6.49228,18.0,0.2,1.0,33.0,33.0,20.0
5.9,3.4,0.0029,0.52,15.0,7.98604,0.2,1.14,33.0,33.0,20.0
5.6,2.2,0.003,0.72,6.49228,7.98604,0.1,1.14,33.0,33.0,20.0
5.2,1.0,0.0036,0.42,6.49228,7.98604,0.2,1.14,33.0,33.0,20.0
6.0,1.0,0.0036,0.52,10.0,7.98604,0.2,1.14,33.0,33.0,20.0
5.6,0.1,0.0012,0.28,10.0,16.0,0.3,1.0,33.0,33.0,20.0
6.1,0.95,0.0035,0.52,15.0,18.0,0.2,1.14,33.0,33.0,20.0
5.4,1.0,0.0018,34.0,6.49228,14.0,0.3,1.0,33.0,33.0,20.0
5.6,1.5,0.0019,0.35,23.0,17.0,0.4,1.0,33.0,33.0,20.0
5.2,1.4,0.0018,0.29,15.0,16.0,0.2,1.0,33.0,33.0,20.0
5.2,0.4,0.0013,0.35,14.0,14.0,0.1,1.0,33.0,33.0,20.0
6.0,1.6,0.0008,0.47,10.0,7.98604,0.4,1.0,33.0,33.0,20.0
6.4,1.2,0.0014,0.27,16.0,7.98604,0.5,1.0,33.0,33.0,20.0
6.1,1.0,0.0035,0.57,15.0,18.0,0.1,1.14,33.0,33.0,20.0
6.8,1.8,0.0028,0.6,12.0,7.98604,0.0882928,1.14,33.0,33.0,20.0
6.2,0.8,0.0037,0.48,6.49228,7.98604,0.4,1.14,33.0,33.0,20.0
6.8,0.2,0.003,0.51,10.0,7.98604,0.2,1.14,33.0,33.0,20.0
6.4,0.47,0.0037,0.32,16.0,19.0,0.1,1.14,33.0,33.0,20.0
7.0,0.27,0.0034,0.51,16.0,7.98604,0.0882928,1.14,33.0,33.0,20.0
5.8,0.4,0.0033,0.69,10.0,7.98604,0.3,1.14,33.0,33.0,20.0
5.8,0.1,0.0033,0.49,13.0,7.98604,0.5,1.14,33.0,33.0,20.0
5.9,0.8,0.0038,0.57,6.49228,7.98604,0.5,1.14,33.0,33.0,20.0
5.8,0.2,0.0032,0.52,10.0,7.98604,0.3,1.14,33.0,33.0,20.0
5.6,1.2,0.0028,0.56,10.0,7.98604,0.2,1.14,33.0,33.0,20.0
4.7,0.76,0.04,0.07,6.49228,7.98604,0.51,2.1,40.0,40.0,20.0
4.8,1.03,0.05,0.37,6.49228,7.98604,0.0882928,1.14,40.0,40.0,20.0
5.3,1.0,0.06,0.4,6.49228,12.32,0.0882928,1.14,40.0,40.0,20.0
5.4,1.44,0.07,0.78,6.49228,7.98604,0.0882928,1.14,40.0,40.0,20.0
4.7,1.65,0.08,0.12,12.5,11.09,0.17,0.22,40.0,40.0,20.0
4.7,0.96,0.05,0.12,6.49228,8.21,0.0882928,0.91,40.0,40.0,20.0
5.1,1.72,0.09,0.3,6.49228,18.72,0.0882928,2.21,40.0,40.0,20.0
6.0,0.76,0.04,0.21,6.49228,9.74,0.2,1.07,40.0,40.0,20.0
6.2,1.03,0.05,0.32,6.49228,16.93,0.51,1.71,40.0,40.0,20.0
4.5,1.85,0.09,0.31,6.49228,9.36,0.18,1.72,40.0,40.0,20.0
5.5,1.23,0.06,0.6,6.49228,7.98604,0.33,1.14,40.0,40.0,20.0
4.5,0.96,0.05,0.48,6.49228,19.48,0.13,1.64,40.0,40.0,20.0
5.1,1.72,0.09,0.51,6.49228,7.98604,0.0882928,1.14,40.0,40.0,20.0
5.8,1.92,0.1,0.16,7.63,12.74,0.16,0.76,40.0,40.0,20.0
6.0,1.51,0.08,0.23,6.49228,11.32,0.18,0.83,40.0,40.0,20.0
5.6,1.24,0.06,0.13,22.33,6.01,0.12,1.14,40.0,40.0,20.0
5.2,1.72,0.09,0.39,6.49228,19.21,0.15,1.14,40.0,40.0,20.0
4.8,1.17,0.06,0.3,6.49228,7.98604,0.17,1.91,40.0,40.0,20.0
5.3,1.72,0.09,0.12,13.36,13.43,0.1,1.8,40.0,40.0,20.0
5.3,1.92,0.1,0.15,19.42,12.59,0.16,1.14,40.0,40.0,20.0
5.5,1.51,0.08,0.1,6.49228,14.57,0.11,1.24,40.0,40.0,20.0
5.1,1.72,0.09,0.2,6.49228,7.98604,0.14,2.23,40.0,40.0,20.0
5.1,2.85,0.14,0.13,18.84,12.89,0.17,1.24,40.0,40.0,20.0
7.2,1.99,0.1,0.29,6.49228,7.98604,0.12,1.44,40.0,40.0,20.0
5.1,1.92,0.1,0.11,9.13,9.17,0.38,1.11,40.0,40.0,20.0
5.6,2.23,0.11,0.15,6.49228,7.98604,0.16,1.56,40.0,40.0,20.0
5.1,0.76,0.04,0.13,6.49228,16.21,0.11,1.62,40.0,40.0,20.0
5.7,2.2,0.11,0.23,20.93,17.28,0.1,1.06,40.0,40.0,20.0
5.3,2.87,0.14,0.17,6.49228,10.48,0.18,0.91,40.0,40.0,20.0
5.3,2.13,0.11,0.14,6.49228,10.55,0.12,2.14,40.0,40.0,20.0
5.3,2.87,0.14,0.11,4.59,15.94,0.1,0.87,40.0,40.0,20.0
5.5,1.71,0.09,0.14,6.49228,3.22,0.12,1.13,40.0,40.0,20.0
5.0,2.75,0.14,0.24,6.49228,4.81,0.17,2.08,40.0,40.0,20.0
5.3,1.79,0.09,0.18,6.49228,11.02,0.15,1.05,40.0,40.0,20.0
5.2,1.65,0.08,0.14,6.49228,5.23,0.23,1.11,40.0,40.0,20.0
5.5,2.88,0.14,0.1,8.78,7.05,0.1,0.7,40.0,40.0,20.0
5.5,2.87,0.14,0.12,6.49228,13.27,0.32,1.08,40.0,40.0,20.0
5.5,2.06,0.1,0.14,5.4,8.63,0.1,0.75,40.0,40.0,20.0
5.3,1.58,0.08,0.15,6.24,7.98604,0.37,0.53,40.0,40.0,20.0
5.7,2.2,0.11,0.11,16.38,11.09,0.11,1.1,40.0,40.0,20.0
5.0,1.99,0.1,0.13,14.51,8.94,0.45,1.54,40.0,40.0,20.0
5.7,1.79,0.09,0.18,6.49228,2.1,0.33,0.98,40.0,40.0,20.0
5.4,2.82,0.14,0.13,9.7,8.67,0.1,0.94,33.0,33.0,20.0
5.8,0.89,0.05,0.24,6.49228,8.86,0.0882928,1.04,40.0,40.0,20.0
6.0,2.8,0.14,0.28,6.49228,7.55,0.0882928,1.14,40.0,40.0,20.0
5.3,1.99,0.1,0.21,22.52,8.48,0.0882928,1.26,40.0,40.0,20.0
5.1,0.75,0.04,0.21,8.6,6.2,0.2,0.83,40.0,40.0,20.0
5.2,1.99,0.1,0.15,16.24,1.75,0.08,0.64,40.0,40.0,20.0
5.1,2.68,0.13,0.13,4.37,9.63,0.0882928,0.91,40.0,40.0,20.0
5.0,2.61,0.13,0.14,8.96,10.36,0.23,0.95,40.0,40.0,20.0
4.7,1.51,0.08,0.17,6.19,5.39,0.25,0.66,40.0,40.0,20.0
4.8,2.75,0.14,0.16,20.6,8.94,0.23,1.45,40.0,40.0,20.0
4.9,2.61,0.13,0.21,6.49228,4.58,0.44,0.91,40.0,40.0,20.0
5.8,1.79,0.09,0.16,15.57,9.51,0.0882928,0.83,33.0,33.0,20.0
6.6,1.58,0.08,0.14,6.49228,16.33,0.0882928,0.7,33.0,33.0,20.0
5.7,1.02,0.05,0.2,10.5,10.36,0.36,0.54,33.0,33.0,20.0
5.1,2.87,0.14,0.16,4.85,12.13,0.1,0.92,20.0,20.0,20.0
5.0,2.75,0.14,0.14,4.71,4.11,0.16,1.16,33.0,33.0,20.0
4.9,2.82,0.14,0.15,4.65,5.78,0.13,0.76,33.0,33.0,20.0
4.9,1.85,0.09,0.2,4.24,4.58,0.14,0.82,33.0,33.0,20.0
4.8,1.72,0.09,0.15,9.15,14.95,0.17,1.09,33.0,33.0,20.0
4.7,2.81,0.14,0.2,7.02,10.36,0.48,1.27,33.0,33.0,20.0
5.0,2.83,0.14,0.21,6.54,10.9,0.0882928,0.83,33.0,33.0,20.0
5.3,2.82,0.14,0.34,9.84,12.55,0.0882928,1.1,40.0,40.0,20.0
5.0,2.68,0.13,0.22,3.44,8.28,0.14,0.7,40.0,40.0,20.0
4.8,2.84,0.14,0.28,9.27,7.36,0.48,1.24,40.0,40.0,20.0
4.6,1.92,0.1,0.23,7.17,7.4,0.11,0.67,40.0,40.0,20.0
4.9,2.82,0.14,0.16,9.01,7.09,0.26,1.04,33.0,33.0,20.0
5.1,1.78,0.09,0.21,15.49,1.77,0.26,0.64,33.0,33.0,20.0
5.03,2.75,0.14,0.35,8.97,6.9,0.0882928,0.65,33.0,33.0,20.0
4.9,3.08,0.15,0.47,5.18,10.29,0.0882928,0.97,33.0,33.0,20.0
5.1,2.85,0.14,0.51,5.79,16.4,0.0882928,1.88,33.0,33.0,20.0
4.9,1.86,0.09,0.22,16.46,13.77,0.39,0.75,40.0,40.0,20.0
5.4,1.58,0.08,0.26,5.7,9.82,0.41,0.91,40.0,40.0,20.0
5.9,1.16,0.06,0.26,21.56,11.878,0.0882928,0.4,40.0,40.0,20.0
5.2,1.51,0.08,0.29,13.27,7.98604,0.0882928,0.54,40.0,40.0,20.0
5.2,0.9,0.05,0.28,6.49228,9.44,0.44,1.3,40.0,40.0,20.0
4.6,0.78,0.04,0.17,6.49228,6.39,0.0882928,0.58,40.0,40.0,20.0
5.0,1.03,0.05,0.16,6.49228,4.5,0.41,0.74,40.0,40.0,20.0
5.6,1.44,0.07,0.32,6.49228,7.98604,0.0882928,1.76,40.0,40.0,20.0
5.7,1.16,0.06,0.48,6.49228,7.98604,0.24,0.96,40.0,40.0,20.0
5.7,0.78,0.04,0.33,6.49228,2.99,0.13,0.88,40.0,40.0,20.0
5.8,0.78,0.04,0.3,6.49228,3.88,0.26,0.97,40.0,40.0,20.0
6.3,1.72,0.09,0.77,21.2,7.98604,0.0882928,1.01,40.0,40.0,20.0
5.7,1.03,0.05,0.28,10.6,11.05,0.17,0.5,40.0,40.0,20.0
5.5,2.06,0.1,0.25,11.61,10.67,0.45,1.91,40.0,40.0,20.0
5.4,2.68,0.13,0.31,6.08,10.17,0.0882928,0.6,40.0,40.0,20.0
5.9,1.38,0.07,0.37,6.49228,5.81,0.0882928,1.0,40.0,40.0,20.0
5.6,1.65,0.08,0.4,6.49228,7.98604,0.0882928,1.05,40.0,40.0,20.0
5.8,0.78,0.04,0.41,14.54,7.98604,0.0882928,0.57,40.0,40.0,20.0
6.4,1.24,0.06,0.25,9.44,7.98604,0.0882928,0.7,80.0,10.0,10.0
5.1,1.03,0.05,0.19,6.49228,2.17,0.0882928,0.79,40.0,40.0,20.0
6.2,0.78,0.04,0.27,22.77,15.45,0.3,1.14,40.0,40.0,20.0
5.8,2.2,0.11,0.27,21.76,11.59,0.0882928,0.33,40.0,40.0,20.0
6.0,2.89,0.14,0.49,6.49228,10.71,0.0882928,0.48,40.0,40.0,20.0
5.3,2.15,0.12,0.22,12.0,7.98604,0.42,0.98,33.0,33.0,20.0
4.9,1.79,0.09,0.19,16.0,14.0,0.14,0.56,33.0,33.0,20.0
4.9,1.91,0.11,0.13,4.0,11.0,0.52,0.58,33.0,33.0,20.0
5.2,1.44,0.08,0.16,18.0,9.0,0.25,0.7,33.0,33.0,20.0
5.2,2.39,0.12,0.18,11.0,7.98604,0.31,0.4,33.0,33.0,20.0
4.9,0.72,0.04,0.18,6.49228,7.98604,0.23,0.28,33.0,33.0,20.0
4.5,1.44,0.07,0.34,6.49228,11.0,0.37,0.2,33.0,33.0,20.0
4.8,1.44,0.08,0.22,6.49228,17.0,0.47,0.9,33.0,33.0,20.0
5.0,1.32,0.05,0.31,6.49228,14.0,0.37,0.46,33.0,33.0,20.0
5.2,1.08,0.06,0.36,6.49228,11.0,0.41,0.5,33.0,33.0,20.0
4.4,1.69,0.08,0.33,6.49228,12.0,0.29,0.4,33.0,33.0,20.0
5.1,2.03,0.1,0.32,6.49228,13.0,0.34,0.56,33.0,33.0,20.0
4.7,1.44,0.08,0.14,6.49228,13.0,0.41,0.7,33.0,33.0,20.0
4.8,2.03,0.09,0.28,6.49228,14.0,0.17,0.4,33.0,33.0,20.0
5.1,1.69,0.08,0.13,19.0,8.0,0.14,0.48,33.0,33.0,20.0
5.3,1.79,0.1,0.4,6.49228,7.98604,0.17,0.4,33.0,33.0,20.0
5.5,0.67,0.05,0.25,6.49228,11.0,0.23,0.4,33.0,33.0,20.0
5.1,1.2,0.06,0.3,6.49228,7.98604,0.29,0.4,33.0,33.0,20.0
4.8,1.2,0.07,0.22,14.0,12.0,0.31,0.42,33.0,33.0,20.0
4.8,1.69,0.9,0.31,6.49228,11.0,0.34,1.1,33.0,33.0,20.0
5.4,1.08,0.07,0.29,6.49228,9.0,0.29,0.28,33.0,33.0,20.0
5.7,1.2,0.06,0.14,22.0,8.0,0.22,0.4,33.0,33.0,20.0
5.4,1.44,0.08,0.26,6.49228,14.0,0.26,0.3,33.0,33.0,20.0
5.0,1.44,0.1,0.22,6.49228,16.0,0.38,0.26,33.0,33.0,20.0
5.3,1.44,0.07,0.18,6.49228,16.0,0.0882928,0.44,33.0,33.0,20.0
5.2,1.69,0.09,0.09,6.49228,11.0,0.43,0.34,33.0,33.0,20.0
5.6,2.27,0.12,0.2,6.49228,19.0,0.0882928,0.36,33.0,33.0,20.0
4.6,1.44,0.07,0.16,6.49228,9.0,0.0882928,0.5,33.0,33.0,20.0
4.9,1.2,0.06,0.2,6.49228,8.0,0.53,0.28,33.0,33.0,20.0
4.9,1.69,0.08,0.27,6.49228,7.98604,0.0882928,0.3,33.0,33.0,20.0
4.2,1.91,0.1,0.31,6.49228,11.0,0.31,0.5,33.0,33.0,20.0
4.8,1.44,0.09,0.19,6.49228,8.0,0.25,0.8,33.0,33.0,20.0
4.5,1.44,0.08,0.1,17.0,9.0,0.28,0.6,33.0,33.0,20.0
4.8,1.57,0.06,0.1,17.0,9.0,0.3,0.52,33.0,33.0,20.0
4.9,1.32,0.07,0.07,6.49228,10.0,0.46,0.24,33.0,33.0,20.0
5.3,2.27,0.12,0.16,22.0,11.0,0.4,0.26,33.0,33.0,20.0
4.5,1.79,0.1,0.24,6.49228,13.0,0.29,0.22,33.0,33.0,20.0
5.1,1.57,0.08,0.09,18.0,11.0,0.21,0.46,33.0,33.0,20.0
4.9,1.57,0.09,0.11,6.49228,12.0,0.17,0.34,33.0,33.0,20.0
5.8,1.44,0.09,0.11,6.49228,9.0,0.08,0.1,33.0,33.0,20.0
5.3,1.32,0.08,0.11,6.49228,9.0,0.34,0.3,33.0,33.0,20.0
4.9,1.79,0.08,0.17,6.49228,14.0,0.25,0.3,33.0,33.0,20.0
5.0,1.79,0.1,0.18,6.49228,13.0,0.28,0.36,33.0,33.0,20.0
5.1,1.69,0.1,0.22,6.49228,11.0,0.37,0.22,33.0,33.0,20.0
5.7,1.8,0.12,0.08,6.49228,14.0,0.48,0.52,33.0,33.0,20.0
5.4,2.18,0.11,0.13,6.49228,11.0,0.24,0.22,33.0,33.0,20.0
5.2,1.44,0.09,0.08,6.49228,11.0,0.3,0.2,33.0,33.0,20.0
5.0,1.57,0.1,0.07,6.49228,13.0,0.31,0.34,33.0,33.0,20.0
5.4,1.32,0.1,0.07,12.0,11.0,0.3,0.1,33.0,33.0,20.0
5.6,1.32,0.09,0.08,21.0,13.0,0.37,0.26,33.0,33.0,20.0
4.7,1.8,0.1,0.16,6.49228,19.0,0.33,0.18,33.0,33.0,20.0
5.2,2.18,0.11,0.1,10.0,12.0,0.31,0.12,33.0,33.0,20.0
5.2,1.8,0.11,0.09,6.49228,18.0,0.4,0.26,33.0,33.0,20.0
5.2,1.08,0.07,0.16,6.49228,19.0,0.32,0.24,33.0,33.0,20.0
5.6,1.57,0.09,0.3,6.49228,7.98604,0.41,0.26,33.0,33.0,20.0
5.2,1.57,0.09,0.32,6.49228,13.0,0.32,0.46,33.0,33.0,20.0
5.2,1.93,0.11,0.17,6.49228,14.0,0.34,0.42,33.0,33.0,20.0
5.2,1.57,0.11,0.13,15.0,19.0,0.41,0.46,33.0,33.0,20.0
5.4,1.93,0.11,0.11,17.0,9.0,0.29,0.42,33.0,33.0,20.0
5.3,1.69,0.13,0.51,6.49228,18.0,0.39,0.34,33.0,33.0,20.0
5.4,3.38,0.2,0.26,16.0,19.0,0.33,0.4,33.0,33.0,20.0
5.4,1.69,0.09,0.11,15.0,11.0,0.36,0.4,33.0,33.0,20.0
5.8,1.57,0.09,0.05,8.0,9.0,0.41,0.78,33.0,33.0,20.0
5.7,2.16,0.12,0.09,11.0,14.0,0.46,0.4,33.0,33.0,20.0
5.5,1.69,0.11,0.07,14.0,9.0,0.36,0.78,33.0,33.0,20.0
5.4,2.05,0.11,0.06,6.49228,8.0,0.34,1.2,33.0,33.0,20.0
5.0,2.05,0.11,0.11,6.49228,12.0,0.44,1.0,33.0,33.0,20.0
5.3,2.05,0.09,0.09,7.0,9.0,0.28,0.72,33.0,33.0,20.0
4.9,1.44,0.09,0.14,10.0,11.0,0.44,0.64,33.0,33.0,20.0
5.2,1.81,0.1,0.12,6.49228,14.0,0.43,0.72,33.0,33.0,20.0
5.6,2.16,0.14,0.14,11.0,7.98604,0.21,0.84,33.0,33.0,20.0
5.6,1.57,0.09,0.08,13.0,11.0,0.24,0.9,33.0,33.0,20.0
5.1,1.44,0.1,0.13,17.0,13.0,0.34,0.84,33.0,33.0,20.0
5.4,1.57,0.12,0.13,14.0,13.0,0.49,0.8,33.0,33.0,20.0
5.2,2.16,0.12,0.11,20.0,10.0,0.25,0.82,33.0,33.0,20.0
5.2,2.67,0.14,0.15,9.0,7.98604,0.0882928,0.62,33.0,33.0,20.0
5.4,2.05,0.13,0.15,11.0,17.0,0.29,0.52,33.0,33.0,20.0
5.4,1.44,0.09,0.09,9.0,13.0,0.29,0.88,33.0,33.0,20.0
5.3,2.67,0.15,0.12,22.0,7.98604,0.49,0.66,33.0,33.0,20.0
5.4,1.93,0.12,0.12,8.0,15.0,0.46,0.62,33.0,33.0,20.0
6.0,2.29,0.11,0.09,5.0,12.0,0.24,0.56,33.0,33.0,20.0
6.1,1.57,0.1,0.23,6.0,13.0,0.17,0.66,33.0,33.0,20.0
5.6,2.67,0.15,0.16,13.0,15.0,0.3,0.78,33.0,33.0,20.0
5.7,2.79,0.16,0.25,0.26,16.0,0.0882928,0.82,33.0,33.0,20.0
5.7,2.16,0.14,0.33,16.0,16.0,0.35,0.72,33.0,33.0,20.0
5.5,1.08,0.16,0.19,14.0,7.98604,0.5,0.82,33.0,33.0,20.0
5.7,1.57,0.2,0.27,16.0,7.98604,0.53,0.76,33.0,33.0,20.0
5.4,2.55,0.17,0.21,6.49228,18.0,0.0882928,0.66,33.0,33.0,20.0
4.9,1.81,0.1,0.24,6.49228,17.0,0.0882928,0.72,33.0,33.0,20.0
5.4,1.93,0.11,0.17,6.49228,11.0,0.3,0.46,33.0,33.0,20.0
5.6,0.48,0.04,0.21,6.49228,12.0,0.2,1.04,33.0,33.0,20.0
6.7,0.36,0.05,0.04,9.0,7.0,0.2,0.36,33.0,33.0,20.0
5.9,0.73,0.04,0.17,6.49228,9.0,0.37,0.44,33.0,33.0,20.0
5.83003,0.36,0.01,0.09,5.0,9.0,0.24,1.02,33.0,33.0,20.0
6.31211,7.6977,0.7054,119.188,14.1132,8.05925,0.159,1.49692,51.0,21.0,22.0
5.36189,13.1397,1.08761,174.787,12.6794,16.3186,0.1016,1.90178,59.0,19.0,20.0
6.32176,12.4706,0.716328,201.41,4.97233,10.0552,0.1165,1.86241,56.0,18.0,22.0
5.5687,14.5912,1.52534,151.807,3.45258,12.8003,0.1215,0.656912,50.0,19.0,29.0
5.60867,10.0637,0.801812,80.056,5.89749,5.21915,0.1676,0.998162,57.0,19.0,21.0
6.27555,2.83923,0.210533,88.3761,3.84416,3.31327,0.01429,0.897132,55.0,18.0,25.0
5.91579,8.21196,0.631203,91.471,4.08069,6.69788,0.01532,1.1347,56.0,22.0,18.0
5.90562,5.12124,0.347311,54.0659,3.49822,6.23584,0.01665,0.571705,64.0,16.0,13.0
6.21006,5.63802,0.328883,58.0133,3.58331,5.66389,0.01739,1.22606,69.0,15.0,15.0
6.55941,5.15243,0.548534,91.471,10.5751,6.40233,0.02535,1.39651,52.0,22.0,24.0
5.86927,5.28051,0.40553,92.3329,6.64998,5.26292,0.03078,0.887695,49.0,27.0,24.0
5.93055,6.00154,1.70919,189.847,4.16389,6.60693,0.06774,1.1374,57.0,18.0,22.0
6.02027,11.5818,0.962603,110.107,4.07238,7.30862,0.07253,1.68039,62.0,20.0,16.0
5.87529,5.81544,0.348295,78.612,4.10674,8.03368,0.08448,0.920181,54.0,23.0,23.0
6.06913,8.38166,0.585388,104.525,4.22226,8.0217,0.09417,1.53245,61.0,14.0,21.0
5.6293,9.87345,0.91241,132.393,2.58348,13.8476,0.10128,1.42311,55.0,19.0,24.0
6.86142,4.35043,0.54645,122.298,8.21167,8.04973,0.10274,1.48526,55.0,20.0,22.0
6.11814,7.70763,0.524477,129.765,3.90586,8.23153,0.10348,1.7471,50.0,26.0,24.0
6.0659,11.4479,1.42659,171.211,2.2794,10.6941,0.10637,1.74727,60.0,18.0,22.0
6.12851,3.75505,0.263512,155.314,5.00163,6.81354,0.10807,1.36473,57.0,17.0,21.0
6.27678,9.67822,1.1942,158.051,8.99805,6.38389,0.10855,1.18746,68.0,13.0,15.0
5.52401,11.3555,1.13782,182.913,5.69444,14.7327,0.10934,2.33105,51.0,18.0,29.0
5.97435,11.2172,1.10655,155.801,3.15791,7.25316,0.11392,1.67218,59.0,23.0,17.0
6.33963,5.52034,0.336103,91.9365,2.95826,7.06976,0.11654,0.917846,55.0,18.0,24.0
5.41995,10.0041,1.13661,13.0304,4.28653,9.72289,0.12089,1.62047,46.0,27.0,24.0
5.8175,10.1299,0.634117,76.1989,2.60205,7.0681,0.12249,1.21807,65.0,19.0,16.0
6.31352,16.1134,1.24539,175.285,10.8978,7.84883,0.13129,1.99306,58.0,19.0,21.0
5.88422,9.97236,0.997445,150.13,7.50441,8.37428,0.13845,1.19323,56.0,20.0,24.0
6.3974,10.1794,0.924265,171.343,5.31064,8.88258,0.14738,1.24356,64.0,20.0,16.0
