pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay
4.8,1.26,0.06,0.15,6.49228,19.4,0.34,1.34,40.0,40.0,20.0
4.7,1.28,0.09,0.19,6.49228,7.98604,0.28,1.11,40.0,40.0,20.0
5.5,1.48,0.08,0.5,6.49228,7.98604,0.52,0.97,40.0,40.0,20.0
5.3,1.32,0.07,0.3,6.49228,17.2,0.54,0.83,40.0,40.0,20.0
5.3,2.18,0.1,0.28,6.49228,14.8,0.44,2.06,40.0,40.0,20.0
5.0,1.57,0.08,0.15,6.49228,12.6,0.3,0.81,40.0,40.0,20.0
5.1,1.22,0.07,0.38,6.49228,11.3,0.36,0.75,40.0,40.0,20.0
6.2,1.47,0.09,0.08,6.49228,15.3,0.46,0.67,40.0,40.0,20.0
5.3,1.82,0.11,0.08,6.49228,7.98604,0.0882928,0.82,40.0,40.0,20.0
5.8,1.71,0.09,0.08,6.49228,7.98604,0.41,0.78,40.0,40.0,20.0
4.9,1.47,0.09,0.29,6.49228,10.2,0.38,1.14,40.0,40.0,20.0
5.1,2.05,0.11,0.37,6.49228,7.98604,0.0882928,2.09,40.0,40.0,20.0
5.4,1.26,0.07,0.18,6.49228,8.3,0.42,0.57,40.0,40.0,20.0
5.0,1.51,0.08,0.15,6.49228,7.0,0.46,0.48,40.0,40.0,20.0
5.0,1.71,0.1,0.22,6.49228,8.1,0.34,0.58,40.0,40.0,20.0
6.1,1.62,0.09,0.06,19.2,12.6,0.31,0.55,40.0,40.0,20.0
5.2,1.99,0.11,0.15,6.49228,17.4,0.38,0.8,40.0,40.0,20.0
5.1,1.7,0.1,0.29,6.49228,15.7,0.31,1.14,40.0,40.0,20.0
5.2,1.5,0.1,0.12,6.49228,1.2,0.32,0.38,40.0,40.0,20.0
4.6,1.42,0.11,0.13,6.49228,1.9,0.3,0.74,40.0,40.0,20.0
4.8,1.82,0.08,0.8,6.49228,7.98604,0.38,1.14,40.0,40.0,20.0
4.7,1.53,0.08,0.23,6.49228,7.98604,0.53,0.7,40.0,40.0,20.0
4.9,1.02,0.05,0.17,6.49228,8.9,0.2,0.4,40.0,40.0,20.0
5.4,1.6,0.07,0.38,6.49228,15.6,0.44,1.13,40.0,40.0,20.0
5.2,1.24,0.07,0.37,6.49228,11.1,0.34,1.1,40.0,40.0,20.0
5.1,1.07,0.06,0.17,6.49228,12.3,0.23,0.56,40.0,40.0,20.0
5.0,0.98,0.06,0.12,12.9,6.3,0.31,0.62,40.0,40.0,20.0
5.1,1.21,0.06,0.08,6.6,5.0,0.41,0.39,40.0,40.0,20.0
4.6,1.61,0.1,0.44,6.49228,7.98604,0.46,0.62,40.0,40.0,20.0
5.2,1.47,0.08,0.33,6.49228,13.0,0.2,0.72,40.0,40.0,20.0
5.4,1.77,0.09,0.13,6.49228,11.5,0.3,0.54,40.0,40.0,20.0
5.3,1.51,0.06,0.13,6.49228,10.5,0.49,0.69,40.0,40.0,20.0
5.2,1.68,0.08,0.14,6.49228,6.4,0.36,0.83,40.0,40.0,20.0
5.3,1.41,0.07,0.2,23.5,16.4,0.0882928,0.36,40.0,40.0,20.0
5.2,1.35,0.07,0.29,16.8,5.0,0.3,0.61,40.0,40.0,20.0
5.0,1.59,0.09,0.11,6.49228,7.98604,0.48,0.54,40.0,40.0,20.0
5.3,1.66,0.07,0.5,13.6,9.4,0.36,0.27,40.0,40.0,20.0
5.9,1.53,0.08,0.32,6.49228,5.0,0.32,0.66,40.0,40.0,20.0
6.4,1.4,0.07,0.17,6.49228,6.4,0.4,1.77,40.0,40.0,20.0
5.0,1.31,0.07,0.11,6.49228,7.5,0.46,1.81,40.0,40.0,20.0
5.2,1.23,0.06,0.22,6.49228,18.2,0.0882928,0.61,40.0,40.0,20.0
4.7,1.41,0.08,0.24,6.49228,7.98604,0.3,0.34,40.0,40.0,20.0
5.3,1.28,0.06,0.25,6.49228,6.5,0.53,0.4,40.0,40.0,20.0
5.7,1.121,0.06,0.08,11.8,4.4,0.25,0.48,40.0,40.0,20.0
5.2,1.29,0.06,0.04,15.3,6.9,0.23,0.43,40.0,40.0,20.0
6.5,1.55,0.07,0.08,6.49228,7.98604,0.48,0.8,40.0,40.0,20.0
5.2,1.27,0.06,68.0,18.6,10.9,0.26,0.44,40.0,40.0,20.0
5.2,1.59,0.09,0.11,15.5,8.4,0.26,0.42,40.0,40.0,20.0
4.7,2.08,0.11,0.11,6.49228,7.98604,0.24,0.55,40.0,40.0,20.0
5.0,1.28,0.07,0.3,6.49228,9.5,0.21,0.72,40.0,40.0,20.0
5.8,1.25,0.06,0.13,16.0,7.7,0.21,1.01,40.0,40.0,20.0
4.8,1.24,0.07,0.1,22.8,8.0,0.3,0.57,40.0,40.0,20.0
5.0,2.21,0.13,0.09,6.49228,7.98604,0.48,1.23,40.0,40.0,20.0
5.4,2.16,0.11,0.34,14.7,7.98604,0.32,0.69,40.0,40.0,20.0
5.3,2.28,0.1,0.09,8.6,14.9,0.24,0.41,40.0,40.0,20.0
5.0,2.53,0.12,0.1,22.5,14.9,0.32,0.37,40.0,40.0,20.0
5.1,1.4,0.37,0.26,8.9,7.2,0.21,0.28,40.0,40.0,20.0
5.2,1.848,0.1,0.15,20.8,10.5,0.28,0.63,40.0,40.0,20.0
4.9,1.7,0.09,0.11,6.49228,11.3,0.28,0.42,40.0,40.0,20.0
5.1,1.79,0.09,0.08,10.7,9.4,0.28,0.21,40.0,40.0,20.0
5.0,1.38,0.1,0.15,7.1,2.1,0.24,0.2,40.0,40.0,20.0
5.3,1.68,0.1,0.1,6.49228,1.1,0.21,0.2,40.0,40.0,20.0
5.5,1.35,0.09,0.14,14.8,1.8,0.24,0.2,40.0,40.0,20.0
5.2,1.58,0.09,0.19,11.1,1.5,0.28,0.08,40.0,40.0,20.0
5.0,2.18,0.12,0.11,6.49228,7.2,0.0882928,0.23,40.0,40.0,20.0
5.2,2.01,0.12,0.14,12.8,1.4,0.32,0.23,40.0,40.0,20.0
5.0,1.54,0.07,0.07,6.49228,5.7,0.4,0.11,40.0,40.0,20.0
5.1,1.32,0.08,0.18,14.3,2.9,0.24,0.43,40.0,40.0,20.0
5.0,2.21,0.13,0.11,13.1,7.6,0.46,0.32,40.0,40.0,20.0
4.8,2.94,0.09,0.31,22.2,2.5,0.34,0.24,40.0,40.0,20.0
4.6,1.35,0.08,0.26,15.3,6.8,0.5,0.36,40.0,40.0,20.0
5.2,1.6,0.09,0.12,4.8,12.2,0.34,0.24,40.0,40.0,20.0
