longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
8.23293,9.9374,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,926.702,0.10128,599.175,9.87345,,1.39703,1.07062,118.506,388.247,67.3893,0.91241,5.6293,2.58348,132.393,75.9685,13.8476,1.42311,55.0,19.0,24.0
10.05456,9.42069,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,612.526,0.10274,901.823,4.35043,,1.58708,0.737364,114.475,371.269,110.803,0.54645,6.86142,8.21167,122.298,44.5484,8.04973,1.48526,55.0,20.0,22.0
8.28213,11.13682,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,652.633,0.10348,510.528,7.70763,,0.954067,0.785347,162.437,167.206,79.9243,0.524477,6.11814,3.90586,129.765,39.4591,8.23153,1.7471,50.0,26.0,24.0
8.4022,8.99629,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,750.35,0.10637,1225.82,11.4479,,0.923146,0.992153,121.166,401.067,117.09,1.42659,6.0659,2.2794,171.211,41.2789,10.6941,1.74727,60.0,18.0,22.0
9.04746,9.66634,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,404.666,0.10807,998.754,3.75505,,0.443525,1.26854,86.1342,147.25,41.8748,0.263512,6.12851,5.00163,155.314,44.9655,6.81354,1.36473,57.0,17.0,21.0
4.43093,10.95324,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,544.368,0.10855,1196.55,9.67822,,1.24031,0.549822,204.941,448.282,101.153,1.1942,6.27678,8.99805,158.051,29.5042,6.38389,1.18746,68.0,13.0,15.0
8.97728,9.60861,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,1018.74,0.10934,609.244,11.3555,,0.801216,0.710855,139.3,178.725,74.5673,1.13782,5.52401,5.69444,182.913,51.7495,14.7327,2.33105,51.0,18.0,29.0
6.17204,9.16042,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,958.529,0.11392,906.153,11.2172,,1.68854,0.937358,181.711,283.553,99.2143,1.10655,5.97435,3.15791,155.801,39.3513,7.25316,1.67218,59.0,23.0,17.0
8.5931,10.78391,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,937.699,0.11563,431.853,11.6419,,1.14891,0.829088,141.81,201.804,33.8779,0.525118,5.9092,4.05861,119.949,82.3793,9.64489,1.40994,58.0,22.0,21.0
9.04489,9.86268,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,850.879,0.11654,654.135,5.52034,,1.30422,0.443205,155.548,268.962,115.868,0.336103,6.33963,2.95826,91.9365,35.2692,7.06976,0.917846,55.0,18.0,24.0
8.58943,10.78451,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,510.93,0.12089,118.232,10.0041,,1.24251,0.826014,220.607,88.3394,59.6191,1.13661,5.41995,4.28653,13.0304,44.6033,9.72289,1.62047,46.0,27.0,24.0
9.07787,8.59073,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,852.115,0.12249,1529.74,10.1299,,1.23957,0.516421,243.478,228.223,34.9005,0.634117,5.8175,2.60205,76.1989,34.9475,7.0681,1.21807,65.0,19.0,16.0
