longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
4.85726,9.13533,0.16011,0.7342310000000001,0.0807857,6.48383,5.02389,0.6024589743589743,6.23473,0.899915,57.0,19.0,16.0,isda,isda,isda,isda
5.43562,10.01016,0.16544,1.5053800000000002,0.12009,6.05746,4.42578,0.20432153846153847,11.7395,1.79534,67.0,17.0,12.0,isda,isda,isda,isda
5.38764,9.55343,0.17185,0.875316,0.0921532,6.05828,3.84997,0.1652994871794872,5.91843,0.913428,61.0,23.0,15.0,isda,isda,isda,isda
9.69868,10.19787,0.17983,0.380899,0.0539828,6.61236,5.41244,0.3208179487179487,10.2381,1.23416,58.0,18.0,18.0,isda,isda,isda,isda
7.62165,8.7604,0.18636,0.5901379999999999,0.0404773,6.36759,13.8595,0.3135846153846154,5.93759,1.37628,60.0,18.0,19.0,isda,isda,isda,isda
9.69903,10.20077,0.18843,0.600659,0.0669862,6.98778,3.25221,0.46311794871794876,26.1901,0.753341,59.0,17.0,20.0,isda,isda,isda,isda
9.03177,9.65042,0.19104,1.11593,0.1285,5.84185,9.81042,0.6577641025641027,23.6288,1.75168,54.0,18.0,24.0,isda,isda,isda,isda
11.0777,8.97676,0.19377,0.976345,0.0725328,6.70738,10.3026,0.23729435897435897,6.981,1.86254,51.0,26.0,21.0,isda,isda,isda,isda
10.02454,9.3695,0.19846,0.609496,0.047649399999999995,6.98375,18.255,0.4070358974358974,5.92214,1.16959,60.0,16.0,19.0,isda,isda,isda,isda
10.02592,9.92179,0.20198,0.592794,0.0704742,6.33662,4.47205,0.3832769230769231,7.58833,1.11143,69.0,15.0,17.0,isda,isda,isda,isda
10.05741,9.42755,0.20253,0.689558,0.0749069,7.10298,6.07983,0.3972102564102564,6.40195,1.6198,57.0,21.0,20.0,isda,isda,isda,isda
11.64093,9.01276,0.22685,1.19668,0.12878799999999999,6.56349,9.71019,0.5271769230769231,11.9583,1.68747,61.0,17.0,18.0,isda,isda,isda,isda
8.53562,9.32715,0.24608,2.40556,0.12250000000000001,6.1568,10.1681,0.23916615384615383,18.0258,1.78374,62.0,16.0,21.0,isda,isda,isda,isda
9.25761,10.29301,0.26895,0.677048,0.0810418,6.38538,6.44866,0.4132692307692308,6.99107,1.7415,47.0,21.0,25.0,isda,isda,isda,isda
9.84106,9.05141,0.33191,0.957357,0.0741177,6.55961,5.17872,0.4439358974358974,15.7149,1.9954,52.0,20.0,22.0,isda,isda,isda,isda
7.71379,9.51283,0.33258,1.9079799999999998,0.170925,5.83878,15.8249,0.38141282051282055,12.5854,2.29899,57.0,19.0,26.0,isda,isda,isda,isda
11.01234,8.97793,0.33288,1.7404800000000002,0.147231,5.65265,7.67067,0.6518179487179487,20.2615,2.52736,48.0,25.0,23.0,isda,isda,isda,isda
9.0403,9.66621,0.33359,0.8758520000000001,0.0754518,6.43242,3.02727,0.6495871794871795,25.5892,1.64351,59.0,18.0,20.0,isda,isda,isda,isda
9.12958,8.3634,0.005622,0.220945,0.0218657,6.16856,6.43252,0.045923846153846155,4.15097,0.49659,66.0,20.0,16.0,isda,isda,isda,isda
8.52495,8.42855,0.006009,0.345791,0.0202744,5.65349,2.62919,0.1429371794871795,6.26601,0.634759,72.0,17.0,12.0,isda,isda,isda,isda
6.1291,9.50625,0.010001,0.354939,0.0208524,6.60157,2.13949,0.11770974358974358,5.31499,0.935492,71.0,19.0,13.0,isda,isda,isda,isda
5.08989,10.27407,0.010413,0.46226200000000006,0.0270889,6.20088,5.99558,0.10389179487179487,4.36223,1.39346,71.0,19.0,12.0,isda,isda,isda,isda
6.56518,9.3675,0.010465,0.521668,0.0382172,6.41323,5.90701,0.13254128205128204,5.58765,1.13011,64.0,18.0,16.0,isda,isda,isda,isda
8.1796,8.07936,0.010877,0.746439,0.0492894,5.24615,4.26601,0.1986820512820513,10.8172,0.930192,62.0,17.0,14.0,isda,isda,isda,isda
7.67712,11.59525,0.011044,0.36520600000000003,0.0210752,5.81021,4.34038,0.12919846153846154,4.04488,0.883053,59.0,24.0,18.0,isda,isda,isda,isda
7.58037,11.07477,0.011175,0.33720300000000003,0.0288286,6.19139,2.31451,0.16171128205128205,5.2325,1.01101,53.0,23.0,18.0,isda,isda,isda,isda
7.66233,11.58857,0.011276,0.408864,0.0232079,5.75296,8.56315,0.24080692307692306,4.18447,1.43289,60.0,22.0,20.0,isda,isda,isda,isda
10.42355,10.69477,0.011519,0.387752,0.0218782,6.13508,5.20099,0.06753487179487179,4.37437,1.28918,67.0,20.0,19.0,isda,isda,isda,isda
9.11494,8.39599,0.011742,0.40638300000000005,0.0316856,5.9374,10.8605,0.16400512820512822,5.42425,0.599202,61.0,19.0,18.0,isda,isda,isda,isda
8.16317,8.0767,0.012035,0.9203810000000001,0.0596908,5.73452,8.37818,0.15864820512820513,10.3383,1.06077,59.0,18.0,14.0,isda,isda,isda,isda
7.93732,11.46292,0.012741,0.8510960000000001,0.0762196,5.8243,4.30709,0.33316153846153845,5.1304,1.8387,60.0,22.0,16.0,isda,isda,isda,isda
7.69309,11.59767,0.013203,0.320154,0.025438699999999998,6.13367,3.45252,0.1878825641025641,6.91513,0.981778,64.0,21.0,16.0,isda,isda,isda,isda
7.67368,11.58825,0.013211,0.464797,0.024465999999999998,5.68289,8.0934,0.18767897435897435,4.41676,1.24638,59.0,23.0,19.0,isda,isda,isda,isda
6.35929,9.68984,0.013528,0.49776600000000004,0.0464392,6.17912,4.76366,0.027593076923076925,7.30298,0.571498,64.0,15.0,16.0,isda,isda,isda,isda
11.06682,8.91125,0.013542,0.26094300000000004,0.0200225,6.46007,3.13,0.1753479487179487,4.21986,0.875171,59.0,23.0,18.0,isda,isda,isda,isda
11.03965,8.9766,0.013618,0.6546649999999999,0.0338367,6.08084,6.20244,0.2917,7.75647,1.50719,45.0,26.0,22.0,isda,isda,isda,isda
8.23415,11.04882,0.014267,0.702938,0.080121,5.84154,6.53858,0.1639094871794872,6.08178,1.19157,52.0,27.0,21.0,isda,isda,isda,isda
5.40878,9.96758,0.014332,0.896886,0.045384400000000005,5.95837,3.10044,0.18978487179487177,7.42028,1.37645,67.0,19.0,14.0,isda,isda,isda,isda
5.01295,10.23278,0.014593,0.730039,0.026162,6.02385,8.73383,0.14032641025641027,4.7605,1.49043,69.0,16.0,11.0,isda,isda,isda,isda
7.56476,11.07313,0.014623,0.351528,0.0352745,5.54966,2.14283,0.1266020512820513,6.41818,1.45927,63.0,23.0,17.0,isda,isda,isda,isda
8.57814,10.84156,0.014952,0.314041,0.049652,5.80065,4.17093,0.06709512820512821,6.53464,1.32452,53.0,21.0,22.0,isda,isda,isda,isda
5.34622,9.53564,0.015068,0.647465,0.0482967,6.12982,3.85352,0.15737589743589744,5.86357,1.03008,70.0,22.0,12.0,isda,isda,isda,isda
5.33171,9.54959,0.015789,0.5237269999999999,0.0301059,5.70793,7.1378,0.1429728205128205,6.56674,1.09909,66.0,21.0,15.0,isda,isda,isda,isda
7.10142,11.60649,0.015811,0.8111750000000001,0.0456586,5.86602,3.41696,0.282325641025641,6.72717,1.08375,51.0,23.0,19.0,isda,isda,isda,isda
9.71533,10.17564,0.015852,1.35368,0.095871,5.71478,13.9557,0.1955805128205128,8.72371,1.80577,60.0,19.0,22.0,isda,isda,isda,isda
11.05936,8.92214,0.015883,0.7802100000000001,0.033981899999999995,6.24094,3.7182,0.27202564102564103,5.75366,1.67441,60.0,22.0,18.0,isda,isda,isda,isda
9.02769,8.53496,0.015974,0.762856,0.0654674,5.25488,4.31564,0.18376410256410258,7.07526,1.49753,64.0,21.0,15.0,isda,isda,isda,isda
7.91586,11.54666,0.016102,0.454638,0.0348375,5.79926,3.9426,0.1878453846153846,5.447,0.958149,61.0,21.0,17.0,isda,isda,isda,isda
8.52969,8.42091,0.016277,0.5270400000000001,0.0399264,5.83895,3.11154,0.14250128205128204,5.08231,1.21416,74.0,18.0,13.0,isda,isda,isda,isda
8.58151,9.32327,0.016511,1.5520200000000002,0.123615,5.66525,4.95659,0.43604102564102565,11.073,2.30507,53.0,20.0,24.0,isda,isda,isda,isda
8.18686,8.07968,0.016833,0.648043,0.047431299999999996,6.34785,5.6755,0.15864820512820513,6.61082,1.315,60.0,17.0,15.0,isda,isda,isda,isda
9.39817,8.93905,0.017504,0.637191,0.0467725,5.18079,5.60191,0.16724358974358972,6.79864,1.18905,58.0,17.0,22.0,isda,isda,isda,isda
8.30746,11.14816,0.017893,0.55628,0.0327196,6.13123,3.06046,0.14561435897435898,8.32968,1.30188,55.0,26.0,22.0,isda,isda,isda,isda
6.06991,9.49083,0.018447,0.5145959999999999,0.0352937,6.56334,4.59396,0.07661128205128205,4.13451,0.973212,66.0,20.0,15.0,isda,isda,isda,isda
7.7037,9.55781,0.018938,0.78525,0.0580411,6.11144,6.78604,0.26093589743589746,6.64653,0.992661,55.0,18.0,21.0,isda,isda,isda,isda
9.09984,8.35215,0.019794,0.314745,0.0336118,6.16289,10.1881,0.31124358974358973,4.5071,0.705518,65.0,18.0,18.0,isda,isda,isda,isda
6.49673,8.52807,0.019903,1.2802,0.06434959999999999,5.84575,7.66751,0.23490102564102566,6.31315,1.58602,61.0,22.0,16.0,isda,isda,isda,isda
8.90831,8.19887,0.020128,0.611607,0.0340646,6.47596,5.80823,0.23454102564102566,5.64847,1.0783,61.0,20.0,18.0,isda,isda,isda,isda
5.52177,8.98149,0.020313,1.1757300000000002,0.12240999999999999,5.23617,4.6817,0.06867358974358974,9.40606,0.694065,45.0,22.0,25.0,isda,isda,isda,isda
7.63414,9.95305,0.020548,1.0357100000000001,0.07107369999999999,5.5989,1.98219,0.20481564102564104,8.6771,1.41292,58.0,18.0,22.0,isda,isda,isda,isda
8.55166,9.39101,0.020618,1.61954,0.0732952,5.7602,2.22735,0.36872820512820514,5.27156,1.99794,57.0,19.0,21.0,isda,isda,isda,isda
7.67508,11.55302,0.020627,0.775883,0.052637199999999995,6.20812,6.39786,0.15660358974358976,6.13368,1.45468,65.0,18.0,16.0,isda,isda,isda,isda
5.36256,9.51697,0.021318,0.467084,0.027827200000000003,6.43693,4.17828,0.1425346153846154,7.33205,1.04596,65.0,20.0,17.0,isda,isda,isda,isda
5.52242,8.98362,0.021468,0.896261,0.09951940000000001,5.48737,3.69894,0.026855897435897436,8.57494,0.775023,47.0,25.0,22.0,isda,isda,isda,isda
11.38881,9.15015,0.021823,0.321277,0.024744,6.24522,6.13555,0.18121051282051281,3.83605,0.922692,59.0,21.0,19.0,isda,isda,isda,isda
4.84312,9.16968,0.022055,0.32411500000000004,0.0330859,6.28232,6.91831,0.2953846153846154,6.50742,1.24467,65.0,22.0,14.0,isda,isda,isda,isda
4.501,9.89338,0.022116,0.250021,0.0228018,6.22039,10.6802,0.14108435897435898,5.53668,0.659035,64.0,20.0,16.0,isda,isda,isda,isda
5.35466,10.65464,0.022214,0.588353,0.028501500000000003,6.01707,2.4506,0.1984697435897436,5.75234,1.16705,72.0,15.0,12.0,isda,isda,isda,isda
6.54126,9.37727,0.022238,0.498924,0.0344113,5.97046,6.85438,0.15976615384615384,4.23499,1.04551,69.0,15.0,12.0,isda,isda,isda,isda
6.37173,9.67128,0.022928,0.7713650000000001,0.0674538,6.05889,1.89158,0.2665051282051282,5.47932,1.11832,65.0,16.0,15.0,isda,isda,isda,isda
6.03752,9.64049,0.023234,0.674418,0.046321600000000004,5.89881,7.07867,0.18905128205128205,5.57021,1.41829,64.0,19.0,14.0,isda,isda,isda,isda
9.12437,8.37564,0.023261,0.446619,0.0366807,6.78532,10.6114,0.29166153846153847,6.04565,0.504835,61.0,21.0,18.0,isda,isda,isda,isda
8.22872,9.98667,0.024166,0.790207,0.0710986,5.76107,3.29374,0.3063897435897436,6.65939,1.03565,58.0,17.0,25.0,isda,isda,isda,isda
7.59854,9.99547,0.024174,0.47449,0.047291,5.77217,3.01637,0.021797512820512822,7.01705,0.863514,50.0,20.0,24.0,isda,isda,isda,isda
8.2454,11.09724,0.024239,0.287257,0.0301378,6.09444,2.81883,0.22192102564102564,6.01006,1.20769,52.0,27.0,21.0,isda,isda,isda,isda
10.41415,10.676,0.024814,0.965368,0.0591913,6.51664,6.13347,0.10061102564102564,5.09422,1.84838,68.0,19.0,18.0,isda,isda,isda,isda
11.39398,9.16889,0.025214,0.43551799999999996,0.025945600000000003,5.85379,5.32614,0.23454102564102566,4.5186,0.920954,48.0,29.0,27.0,isda,isda,isda,isda
8.38057,8.99978,0.025222,0.493313,0.0326048,6.09944,5.96704,0.12773153846153845,4.50278,1.27558,61.0,16.0,21.0,isda,isda,isda,isda
6.54786,9.37754,0.025612,0.524431,0.03909,5.7138,5.74147,0.20497923076923077,6.13394,1.19268,66.0,16.0,14.0,isda,isda,isda,isda
7.97489,11.53703,0.025666,0.41560300000000006,0.028332000000000003,5.89611,6.52598,0.18348615384615385,4.23906,1.12301,63.0,21.0,19.0,isda,isda,isda,isda
4.48827,10.98444,0.025863,0.37133,0.0414738,6.20151,4.02976,0.19218153846153846,4.91167,0.773669,68.0,16.0,14.0,isda,isda,isda,isda
8.6529,10.76569,0.027197,0.780027,0.0511984,5.85027,5.56056,0.2948051282051282,6.02424,1.26093,54.0,23.0,23.0,isda,isda,isda,isda
8.38507,10.09573,0.027608,1.5601,0.09298110000000001,5.666,5.34177,0.19375410256410255,8.03476,1.48381,57.0,19.0,22.0,isda,isda,isda,isda
6.50435,8.51931,0.027712,0.65482,0.034651100000000004,5.72979,5.82545,0.13701153846153846,6.9865,1.51828,63.0,22.0,17.0,isda,isda,isda,isda
9.17354,11.26482,0.028994,0.48031499999999994,0.034039799999999995,5.96626,5.25365,0.0368325641025641,5.45045,0.992063,54.0,23.0,23.0,isda,isda,isda,isda
9.18314,11.26222,0.029009,0.406942,0.0359218,6.01741,5.66855,0.0368325641025641,7.21808,1.02345,59.0,21.0,21.0,isda,isda,isda,isda
9.13977,11.28752,0.029331,0.6526150000000001,0.0732845,6.13933,8.96233,0.025462871794871795,7.21886,0.696196,63.0,19.0,18.0,isda,isda,isda,isda
9.70586,10.15412,0.030239,0.746085,0.05884009999999999,6.01154,7.24265,0.31222820512820515,4.75114,1.12889,48.0,22.0,24.0,isda,isda,isda,isda
11.02942,8.91025,0.030554,0.6363679999999999,0.037865300000000005,6.69078,5.93129,0.29886153846153846,4.9271,1.31937,56.0,25.0,19.0,isda,isda,isda,isda
7.63665,9.94885,0.031239,0.7989189999999999,0.085503,5.51526,2.71228,0.019997205128205128,8.04602,1.16537,54.0,16.0,22.0,isda,isda,isda,isda
8.62569,10.81574,0.031342,0.305157,0.030962899999999998,6.14241,7.21779,0.05552051282051282,3.92211,1.0371,56.0,21.0,21.0,isda,isda,isda,isda
6.9432,11.1213,0.031928,1.00988,0.0740193,5.67173,3.83052,0.22980871794871793,5.51419,0.97806,64.0,19.0,15.0,isda,isda,isda,isda
8.63447,10.14152,0.033127,0.7688740000000001,0.047867599999999996,5.68784,3.74686,0.20596025641025642,7.71021,1.39192,55.0,20.0,19.0,isda,isda,isda,isda
8.60563,10.78558,0.033208,1.03892,0.0675002,5.75128,2.25731,0.16827358974358975,9.6803,1.00159,53.0,23.0,23.0,isda,isda,isda,isda
8.22513,9.93767,0.033213,1.08918,0.0671287,5.83889,2.64493,0.1811751282051282,12.9166,0.938662,58.0,18.0,22.0,isda,isda,isda,isda
5.348,9.5294,0.034997,0.546674,0.0478983,6.26634,9.15547,0.3030487179487179,5.8264,0.817161,69.0,22.0,15.0,isda,isda,isda,isda
8.5802,9.3299,0.035436,0.734024,0.0562848,6.28778,10.6783,0.2611307692307692,5.6597,1.0403,53.0,22.0,23.0,isda,isda,isda,isda
9.11986,8.37824,0.035794,1.12819,0.0620111,6.47835,4.72419,0.5296282051282052,6.27104,0.886451,61.0,19.0,19.0,isda,isda,isda,isda
8.3189,11.1343,0.035893,0.8417709999999999,0.049898,6.01539,14.5806,0.2994,7.38695,1.39128,56.0,23.0,21.0,isda,isda,isda,isda
10.00909,9.9137,0.036063,0.846262,0.07725220000000001,5.57537,7.59971,0.3235,12.3597,1.40071,64.0,19.0,22.0,isda,isda,isda,isda
9.18928,9.57059,0.036326,0.5655669999999999,0.044981,5.64201,10.116,0.26801282051282055,8.0032,1.62835,53.0,15.0,24.0,isda,isda,isda,isda
8.58009,10.80491,0.037278,0.422844,0.0354939,5.74793,7.07524,0.02163215384615385,6.20634,1.0367,52.0,25.0,21.0,isda,isda,isda,isda
11.36003,9.12819,0.037949,0.414342,0.023344999999999998,5.32571,10.1855,0.18660794871794872,4.0185,0.65506,53.0,23.0,20.0,isda,isda,isda,isda
9.08263,8.59073,0.038004,0.753221,0.06684179999999999,5.74384,4.70346,0.2385379487179487,10.0109,0.725128,63.0,21.0,15.0,isda,isda,isda,isda
9.03623,9.59994,0.038703,1.64849,0.0896227,5.41176,3.46305,0.42715128205128206,7.22209,2.44039,60.0,15.0,19.0,isda,isda,isda,isda
5.98973,10.26583,0.039654,0.502306,0.0306782,6.27148,5.49607,0.24742461538461538,5.27165,1.36405,60.0,20.0,15.0,isda,isda,isda,isda
9.09873,8.40999,0.039681,0.8485950000000001,0.0459789,6.77537,12.7019,0.16679128205128205,4.78262,1.1989,66.0,20.0,17.0,isda,isda,isda,isda
7.64637,9.96717,0.039817,0.47823399999999994,0.042930800000000005,5.82978,4.78649,0.027625384615384614,6.85772,0.732702,58.0,18.0,23.0,isda,isda,isda,isda
8.24322,11.03745,0.040356,0.756648,0.0528193,6.32745,1.72032,0.13162487179487178,7.03314,1.0912,50.0,26.0,21.0,isda,isda,isda,isda
9.25376,10.26965,0.041492,0.8682679999999999,0.0835233,5.77556,11.6626,0.37244102564102566,21.3365,1.60166,52.0,20.0,25.0,isda,isda,isda,isda
6.99166,11.07852,0.043462,0.678852,0.0590946,6.10957,2.12325,0.2086397435897436,7.84251,0.841359,62.0,22.0,17.0,isda,isda,isda,isda
4.4375,10.95615,0.043516,0.9271670000000001,0.0732947,6.11989,15.0589,0.43375641025641026,5.97012,1.63607,67.0,13.0,15.0,isda,isda,isda,isda
5.46031,9.98732,0.044416,0.8997740000000001,0.0687296,5.69473,4.09975,0.18835641025641026,7.23582,1.01798,65.0,17.0,13.0,isda,isda,isda,isda
10.01381,9.92626,0.044774,0.491359,0.0333454,6.31442,5.853,0.4363358974358974,8.16027,0.635092,65.0,17.0,21.0,isda,isda,isda,isda
8.3294,10.0806,0.045294,1.00431,0.09230669999999999,5.79067,2.1113,0.31506153846153845,11.2789,1.07778,56.0,16.0,22.0,isda,isda,isda,isda
9.95574,8.53682,0.045967,0.496866,0.0453396,6.50527,8.84931,0.23454102564102566,4.94321,1.19219,61.0,23.0,18.0,isda,isda,isda,isda
7.67038,9.92063,0.047101,0.912523,0.0727617,5.25877,3.23118,0.3426923076923077,9.52188,1.28179,60.0,18.0,25.0,isda,isda,isda,isda
7.59995,11.07815,0.049102,0.590225,0.0468516,6.10696,5.47367,0.1517879487179487,6.83177,1.28096,58.0,26.0,18.0,isda,isda,isda,isda
9.69645,10.20401,0.052727,0.41443599999999997,0.039588200000000004,5.69681,8.54059,0.2982025641025641,4.12444,1.20613,61.0,16.0,18.0,isda,isda,isda,isda
11.37429,9.14437,0.053264,1.09627,0.07917199999999999,6.49878,6.59701,0.2330102564102564,6.52793,1.66476,55.0,22.0,21.0,isda,isda,isda,isda
8.22692,9.98393,0.054438,1.24285,0.154439,5.78686,2.90696,0.18488538461538462,10.3526,1.60304,58.0,16.0,23.0,isda,isda,isda,isda
9.17841,9.55968,0.054538,0.780555,0.103275,5.2157,2.99794,0.24026410256410258,7.06674,1.36558,63.0,13.0,24.0,isda,isda,isda,isda
8.30117,9.95276,0.054715,1.01737,0.0937271,5.45857,2.14437,0.3768897435897436,11.3358,1.05106,55.0,20.0,21.0,isda,isda,isda,isda
8.30529,10.0103,0.055851,1.51432,0.182649,6.24755,3.92289,0.19223846153846152,12.5419,2.16867,57.0,16.0,21.0,isda,isda,isda,isda
