longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
7.62165,8.7604,0.18636,5.90138,0.404773,6.36759,13.8595,122.298,5.93759,1.37628,60.0,18.0,19.0,isda,isda,isda,isda
9.69903,10.20077,0.18843,6.00659,0.669862,6.98778,3.25221,180.616,26.1901,0.753341,59.0,17.0,20.0,isda,isda,isda,isda
9.03177,9.65042,0.19104,11.1593,1.285,5.84185,9.81042,256.528,23.6288,1.75168,54.0,18.0,24.0,isda,isda,isda,isda
11.0777,8.97676,0.19377,9.76345,0.725328,6.70738,10.3026,92.5448,6.981,1.86254,51.0,26.0,21.0,isda,isda,isda,isda
10.02454,9.3695,0.19846,6.09496,0.476494,6.98375,18.255,158.744,5.92214,1.16959,60.0,16.0,19.0,isda,isda,isda,isda
10.02592,9.92179,0.20198,5.92794,0.704742,6.33662,4.47205,149.478,7.58833,1.11143,69.0,15.0,17.0,isda,isda,isda,isda
10.05741,9.42755,0.20253,6.89558,0.749069,7.10298,6.07983,154.912,6.40195,1.6198,57.0,21.0,20.0,isda,isda,isda,isda
11.64093,9.01276,0.22685,11.9668,1.28788,6.56349,9.71019,205.599,11.9583,1.68747,61.0,17.0,18.0,isda,isda,isda,isda
8.53562,9.32715,0.24608,24.0556,1.225,6.1568,10.1681,93.2748,18.0258,1.78374,62.0,16.0,21.0,isda,isda,isda,isda
9.25761,10.29301,0.26895,6.77048,0.810418,6.38538,6.44866,161.175,6.99107,1.7415,47.0,21.0,25.0,isda,isda,isda,isda
9.84106,9.05141,0.33191,9.57357,0.741177,6.55961,5.17872,173.135,15.7149,1.9954,52.0,20.0,22.0,isda,isda,isda,isda
7.71379,9.51283,0.33258,19.0798,1.70925,5.83878,15.8249,148.751,12.5854,2.29899,57.0,19.0,26.0,isda,isda,isda,isda
11.01234,8.97793,0.33288,17.4048,1.47231,5.65265,7.67067,254.209,20.2615,2.52736,48.0,25.0,23.0,isda,isda,isda,isda
9.0403,9.66621,0.33359,8.75852,0.754518,6.43242,3.02727,253.339,25.5892,1.64351,59.0,18.0,20.0,isda,isda,isda,isda
9.12958,8.3634,0.005622,2.20945,0.218657,6.16856,6.43252,17.9103,4.15097,0.49659,66.0,20.0,16.0,isda,isda,isda,isda
8.52495,8.42855,0.006009,3.45791,0.202744,5.65349,2.62919,55.7455,6.26601,0.634759,72.0,17.0,12.0,isda,isda,isda,isda
6.1291,9.50625,0.010001,3.54939,0.208524,6.60157,2.13949,45.9068,5.31499,0.935492,71.0,19.0,13.0,isda,isda,isda,isda
5.08989,10.27407,0.010413,4.62262,0.270889,6.20088,5.99558,40.5178,4.36223,1.39346,71.0,19.0,12.0,isda,isda,isda,isda
6.56518,9.3675,0.010465,5.21668,0.382172,6.41323,5.90701,51.6911,5.58765,1.13011,64.0,18.0,16.0,isda,isda,isda,isda
8.1796,8.07936,0.010877,7.46439,0.492894,5.24615,4.26601,77.486,10.8172,0.930192,62.0,17.0,14.0,isda,isda,isda,isda
7.67712,11.59525,0.011044,3.65206,0.210752,5.81021,4.34038,50.3874,4.04488,0.883053,59.0,24.0,18.0,isda,isda,isda,isda
7.58037,11.07477,0.011175,3.37203,0.288286,6.19139,2.31451,63.0674,5.2325,1.01101,53.0,23.0,18.0,isda,isda,isda,isda
7.66233,11.58857,0.011276,4.08864,0.232079,5.75296,8.56315,93.9147,4.18447,1.43289,60.0,22.0,20.0,isda,isda,isda,isda
10.42355,10.69477,0.011519,3.87752,0.218782,6.13508,5.20099,26.3386,4.37437,1.28918,67.0,20.0,19.0,isda,isda,isda,isda
9.11494,8.39599,0.011742,4.06383,0.316856,5.9374,10.8605,63.962,5.42425,0.599202,61.0,19.0,18.0,isda,isda,isda,isda
8.16317,8.0767,0.012035,9.20381,0.596908,5.73452,8.37818,61.8728,10.3383,1.06077,59.0,18.0,14.0,isda,isda,isda,isda
7.93732,11.46292,0.012741,8.51096,0.762196,5.8243,4.30709,129.933,5.1304,1.8387,60.0,22.0,16.0,isda,isda,isda,isda
7.69309,11.59767,0.013203,3.20154,0.254387,6.13367,3.45252,73.2742,6.91513,0.981778,64.0,21.0,16.0,isda,isda,isda,isda
7.67368,11.58825,0.013211,4.64797,0.24466,5.68289,8.0934,73.1948,4.41676,1.24638,59.0,23.0,19.0,isda,isda,isda,isda
6.35929,9.68984,0.013528,4.97766,0.464392,6.17912,4.76366,10.7613,7.30298,0.571498,64.0,15.0,16.0,isda,isda,isda,isda
11.06682,8.91125,0.013542,2.60943,0.200225,6.46007,3.13,68.3857,4.21986,0.875171,59.0,23.0,18.0,isda,isda,isda,isda
