longitude,latitude,Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,County,Country,State
89.2167,25.85,Gangachara,Palashbari,high ground,unknown,5.8,0.16,0.0032,0.57,32.0,24.0,0.2,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,5.9,3.4,0.0029,0.52,15.0,28.0,0.2,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Palashbari,high ground,unknown,5.6,2.2,0.003,0.72,25.0,21.0,0.1,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,high ground,unknown,5.2,1.0,0.0036,0.42,40.0,28.0,0.2,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,6.0,1.0,0.0036,0.52,10.0,25.0,0.2,3.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,5.6,0.1,0.0012,0.28,10.0,16.0,0.3,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,6.1,0.95,0.0035,0.52,15.0,18.0,0.2,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,5.6,1.5,0.0019,0.35,23.0,17.0,0.4,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,5.2,1.4,0.0018,0.29,15.0,16.0,0.2,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,5.2,0.4,0.0013,0.35,14.0,14.0,0.1,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,6.0,1.6,0.0008,0.47,10.0,20.0,0.4,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Kaunia,Medium high land,unknown,6.4,1.2,0.0014,0.27,16.0,21.0,0.5,1.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Gangachara,Medium high land,unknown,6.1,1.0,0.0035,0.57,15.0,18.0,0.1,3.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Teesta sandy soil,Medium high land,unknown,6.8,0.2,0.003,0.51,10.0,25.0,0.2,3.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Teesta sandy soil,Medium high land,unknown,6.4,0.47,0.0037,0.32,16.0,19.0,0.1,3.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Alluvial soil of Teesta,Medium high land,unknown,5.8,0.4,0.0033,0.69,10.0,34.0,0.3,3.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Alluvial soil of Teesta,Medium high land,unknown,5.8,0.2,0.0032,0.52,10.0,33.0,0.3,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.2167,25.85,Gangachara,Kaunia,Medium low land,unknown,5.6,1.2,0.0028,0.56,10.0,30.0,0.2,4.0,33.0,33.0,33.0,Gangachara Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Palashbari,high ground,loam,4.7,1.65,0.08,0.12,12.5,11.09,0.17,0.22,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,high ground,loam,4.7,0.96,0.05,0.12,60.21,8.21,0.88,0.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Palashbari,high ground,loam,4.5,0.96,0.05,0.48,70.86,19.48,0.13,1.64,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,high ground,loam,5.8,1.92,0.1,0.16,7.63,12.74,0.16,0.76,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,6.0,1.51,0.08,0.23,40.0,11.32,0.18,0.83,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,high ground,loam,5.3,1.72,0.09,0.12,13.36,13.43,0.1,1.8,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,high ground,loam,5.3,1.92,0.1,0.15,19.42,12.59,0.16,3.6,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,5.1,2.85,0.14,0.13,18.84,12.89,0.17,1.24,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,Medium high land,loam,5.1,1.92,0.1,0.11,9.13,9.17,0.38,1.11,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.6,2.23,0.11,0.15,64.51,20.01,0.16,1.56,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Berries,high ground,loam,5.1,0.76,0.04,0.13,62.85,16.21,0.11,1.62,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,5.7,2.2,0.11,0.23,20.93,17.28,0.1,1.06,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,5.3,2.87,0.14,0.17,24.86,10.48,0.18,0.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,5.3,2.87,0.14,0.11,4.59,15.94,0.1,0.87,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,high ground,loam,5.5,1.71,0.09,0.14,29.37,3.22,0.12,1.13,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.0,2.75,0.14,0.24,26.75,4.81,0.17,2.08,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.3,1.79,0.09,0.18,44.23,11.02,0.15,1.05,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.2,1.65,0.08,0.14,26.46,5.23,0.23,1.11,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.5,2.88,0.14,0.1,8.78,7.05,0.1,0.7,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.5,2.87,0.14,0.12,44.44,13.27,0.32,1.08,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.5,2.06,0.1,0.14,5.4,8.63,0.1,0.75,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.3,1.58,0.08,0.15,6.24,24.08,0.37,0.53,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.7,2.2,0.11,0.11,16.38,11.09,0.11,1.1,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.0,1.99,0.1,0.13,14.51,8.94,0.45,1.54,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.7,1.79,0.09,0.18,25.71,2.1,0.33,0.98,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam clay,5.4,2.82,0.14,0.13,9.7,8.67,0.1,0.94,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.8,0.89,0.05,0.24,68.39,8.86,0.96,1.04,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.3,1.99,0.1,0.21,22.52,8.48,0.62,1.26,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.1,0.75,0.04,0.21,8.6,6.2,0.2,0.83,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam,5.2,1.99,0.1,0.15,16.24,1.75,0.08,0.64,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.1,2.68,0.13,0.13,4.37,9.63,0.88,0.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,5.0,2.61,0.13,0.14,8.96,10.36,0.23,0.95,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,4.7,1.51,0.08,0.17,6.19,5.39,0.25,0.66,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,4.8,2.75,0.14,0.16,20.6,8.94,0.23,1.45,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Gangachara,Medium high land,loam,4.9,2.61,0.13,0.21,46.46,4.58,0.44,0.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,loam clay,6.6,1.58,0.08,0.14,24.16,16.33,0.93,0.7,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,loam clay,5.7,1.02,0.05,0.2,10.5,10.36,0.36,0.54,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,brick,5.1,2.87,0.14,0.16,4.85,12.13,0.1,0.92,20.0,20.0,60.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,loam clay,5.0,2.75,0.14,0.14,4.71,4.11,0.16,1.16,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,loam clay,4.9,2.82,0.14,0.15,4.65,5.78,0.13,0.76,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Imadpur,Medium high land,loam clay,4.9,1.85,0.09,0.2,4.24,4.58,0.14,0.82,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam clay,4.8,1.72,0.09,0.15,9.15,14.95,0.17,1.09,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam clay,4.7,2.81,0.14,0.2,7.02,10.36,0.48,1.27,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam,5.0,2.68,0.13,0.22,3.44,8.28,0.14,0.7,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam,4.8,2.84,0.14,0.28,9.27,7.36,0.48,1.24,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam,4.6,1.92,0.1,0.23,7.17,7.4,0.11,0.67,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam clay,4.9,2.82,0.14,0.16,9.01,7.09,0.26,1.04,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kaunia,Medium high land,loam clay,5.1,1.78,0.09,0.21,15.49,1.77,0.26,0.64,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Kachna,Medium high land,loam clay,5.1,2.85,0.14,0.51,5.79,16.4,0.58,1.88,33.0,33.0,33.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Chilmari,high ground,loam,4.9,1.86,0.09,0.22,16.46,13.77,0.39,0.75,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Saghata,high ground,loam,5.4,1.58,0.08,0.26,5.7,9.82,0.41,0.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Saghata,high ground,loam,5.2,1.51,0.08,0.29,13.27,23.56,0.75,0.54,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Saghata,high ground,loam,4.6,0.78,0.04,0.17,30.4,6.39,0.75,0.58,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Saghata,high ground,loam,5.0,1.03,0.05,0.16,44.0,4.5,0.41,0.74,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Saghata,high ground,loam,5.7,1.16,0.06,0.48,39.12,23.52,0.24,0.96,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,high ground,loam,5.7,0.78,0.04,0.33,40.45,2.99,0.13,0.88,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,high ground,loam,5.8,0.78,0.04,0.3,62.85,3.88,0.26,0.97,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,loam,5.7,1.03,0.05,0.28,10.6,11.05,0.17,0.5,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,loam,5.5,2.06,0.1,0.25,11.61,10.67,0.45,1.91,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,loam,5.4,2.68,0.13,0.31,6.08,10.17,0.62,0.6,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,,Alluvial soil of Teesta,Medium high land,loam,5.8,0.78,0.04,0.41,14.54,27.95,0.97,0.57,40.0,40.0,20.0,,,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,in the sand,6.4,1.24,0.06,0.25,9.44,32.38,0.99,0.7,80.0,10.0,10.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,loam,5.1,1.03,0.05,0.19,37.22,2.17,0.63,0.79,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium high land,loam,6.2,0.78,0.04,0.27,22.77,15.45,0.3,2.92,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.4167,25.77,Kaunia,Alluvial soil of Teesta,Medium low land,loam,6.0,2.89,0.14,0.49,40.59,10.71,0.99,0.48,40.0,40.0,20.0,Kaunia Upazila,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,belab,high ground,unknown,5.3,2.15,0.12,0.22,12.0,28.0,0.42,0.98,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Noadda,high ground,unknown,4.9,1.79,0.09,0.19,16.0,14.0,0.14,0.56,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Noadda,high ground,unknown,4.9,1.91,0.11,0.13,4.0,11.0,0.52,0.58,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Noadda,Medium high land,unknown,5.2,1.44,0.08,0.16,18.0,9.0,0.25,0.7,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,the moon,Medium high land,unknown,5.2,2.39,0.12,0.18,11.0,27.0,0.31,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Pirgacha,high ground,unknown,4.8,1.44,0.08,0.22,56.0,17.0,0.47,0.9,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Pirgacha,high ground,unknown,5.2,1.08,0.06,0.36,41.0,11.0,0.41,0.5,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,5.1,2.03,0.1,0.32,34.0,13.0,0.34,0.56,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.7,1.44,0.08,0.14,56.0,13.0,0.41,0.7,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.8,2.03,0.09,0.28,51.0,14.0,0.17,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.1,1.69,0.08,0.13,19.0,8.0,0.14,0.48,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Pirgacha,high ground,unknown,5.5,0.67,0.05,0.25,37.0,11.0,0.23,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Pirgacha,high ground,unknown,4.8,1.2,0.07,0.22,14.0,12.0,0.31,0.42,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,5.4,1.08,0.07,0.29,31.0,9.0,0.29,0.28,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,5.7,1.2,0.06,0.14,22.0,8.0,0.22,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,5.4,1.44,0.08,0.26,39.0,14.0,0.26,0.3,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,Medium high land,unknown,5.0,1.44,0.1,0.22,26.0,16.0,0.38,0.26,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.6,2.27,0.12,0.2,49.0,19.0,0.62,0.36,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,4.6,1.44,0.07,0.16,36.0,9.0,0.58,0.5,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,4.9,1.2,0.06,0.2,54.0,8.0,0.53,0.28,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,4.9,1.69,0.08,0.27,64.0,28.0,0.68,0.3,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Palashbari,high ground,unknown,4.2,1.91,0.1,0.31,55.0,11.0,0.31,0.5,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.8,1.44,0.09,0.19,33.0,8.0,0.25,0.8,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.5,1.44,0.08,0.1,17.0,9.0,0.28,0.6,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.8,1.57,0.06,0.1,17.0,9.0,0.3,0.52,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,high ground,unknown,4.9,1.32,0.07,0.07,28.0,10.0,0.46,0.24,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,high ground,unknown,5.3,2.27,0.12,0.16,22.0,11.0,0.4,0.26,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,recession,Medium high land,unknown,5.1,1.57,0.08,0.09,18.0,11.0,0.21,0.46,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,4.9,1.57,0.09,0.11,41.0,12.0,0.17,0.34,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.8,1.44,0.09,0.11,27.0,9.0,0.08,0.1,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,5.3,1.32,0.08,0.11,37.0,9.0,0.34,0.3,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Berries,high ground,unknown,4.9,1.79,0.08,0.17,45.0,14.0,0.25,0.3,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,recession,Medium high land,unknown,5.0,1.79,0.1,0.18,55.0,13.0,0.28,0.36,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.7,1.8,0.12,0.08,64.0,14.0,0.48,0.52,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.4,2.18,0.11,0.13,36.0,11.0,0.24,0.22,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Menanagar,Medium high land,unknown,5.2,1.44,0.09,0.08,31.0,11.0,0.3,0.2,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Menanagar,Medium high land,unknown,5.0,1.57,0.1,0.07,35.0,13.0,0.31,0.34,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,recession,Medium high land,unknown,5.4,1.32,0.1,0.07,12.0,11.0,0.3,0.1,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,recession,Medium high land,unknown,5.6,1.32,0.09,0.08,21.0,13.0,0.37,0.26,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,4.7,1.8,0.1,0.16,67.0,19.0,0.33,0.18,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.2,2.18,0.11,0.1,10.0,12.0,0.31,0.12,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.2,1.8,0.11,0.09,27.0,18.0,0.4,0.26,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.2,1.08,0.07,0.16,39.0,19.0,0.32,0.24,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,recession,Medium high land,unknown,5.2,1.57,0.09,0.32,30.0,13.0,0.32,0.46,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.2,1.93,0.11,0.17,40.0,14.0,0.34,0.42,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Medium high land,unknown,5.2,1.57,0.11,0.13,15.0,19.0,0.41,0.46,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Deep medium high land,unknown,5.4,1.93,0.11,0.11,17.0,9.0,0.29,0.42,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Deep medium high land,unknown,5.4,3.38,0.2,0.26,16.0,19.0,0.33,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Shallow to medium high land,unknown,5.4,1.69,0.09,0.11,15.0,11.0,0.36,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Shallow to medium high land,unknown,5.8,1.57,0.09,0.05,8.0,9.0,0.41,0.78,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Gangachara,Shallow to medium high land,unknown,5.7,2.16,0.12,0.09,11.0,14.0,0.46,0.4,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
89.0167,25.8111,Taraganj,Kaunia,Medium high land,unknown,5.5,1.69,0.11,0.07,14.0,9.0,0.36,0.78,33.0,33.0,33.0,তারাগঞ্জ উপজেলা,Bangladesh,Rangpur Division
