longitude,latitude,Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,County,Country,State
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.0,1.73,0.12,0.06,2.3,2.9,0.3,0.42,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.3,1.66,0.09,0.12,8.1,1.6,0.22,0.48,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,1.93,0.11,0.26,6.0,1.7,0.26,1.85,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,1.95,0.11,0.11,2.4,1.6,0.2,0.59,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.3,1.61,0.09,0.1,3.7,2.4,0.42,0.6,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.5,1.37,0.08,0.05,7.7,1.8,0.14,0.52,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.0,1.79,0.11,0.05,13.6,10.5,0.34,0.44,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.2,1.72,0.09,0.11,5.7,13.0,0.36,0.57,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.2,2.15,0.12,0.08,6.3,10.8,0.3,0.52,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,2.55,0.14,0.1,2.8,19.2,0.34,0.5,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,4.8,1.91,0.11,0.11,18.3,16.1,0.44,0.93,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
