Area,Average_Elevation,Average_Temperature,Boron,Clay,Land class,Mean_Precipitation,Nitrogen,Phosphorus,Potassium,SOC,Sand,Silt,Soil group,Soil type,Sulfur,Zinc,latitude,longitude,pH
Bauchi,418,27.86037598,0.241865,17,isda,11.32951677,0.122994,11.8939,0.336605128,0.623034,69,17,isda,isda,9.31763,1.70748,10.68815,10.41141,6.45449
Bauchi,524,26.23922119,0.0799641,17,isda,16.78643748,0.0482458,5.85737,0.104072308,0.498586,67,17,isda,isda,6.54928,1.29102,11.23853,9.11432,5.77891
Bauchi,588,26.79213867,0.076917,18,isda,20.10066994,0.0792393,11.3729,0.342097436,0.945271,65,17,isda,isda,8.91184,1.51889,9.91293,10.03705,6.507
Bauchi,574,26.79213867,0.166767,18,isda,20.10066994,0.114488,8.01859,0.500884615,1.36201,69,17,isda,isda,5.66098,1.61901,9.93216,10.04472,7.06793
Bauchi,412,27.86037598,0.0040988,18,isda,11.32951677,0.0229583,3.81314,0.051763846,0.387773,67,17,isda,isda,5.28868,0.884179,10.69114,10.4381,5.98418
Bauchi,400,27.86037598,0.0103925,18,isda,11.32951677,0.0388885,4.61252,0.124214103,0.988014,68,17,isda,isda,5.81611,1.37591,10.67917,10.41743,5.98515
Bauchi,615,25.21032104,0.0830275,18,isda,28.24034356,0.0298238,10.5075,0.226644359,0.418427,64,17,isda,isda,6.78116,1.12657,10.20585,9.69745,5.4772
Bauchi,565,26.79213867,0.0906442,18,isda,20.10066994,0.106845,10.7446,0.443935897,0.815166,69,17,isda,isda,5.28065,1.34144,9.93026,10.01399,6.62401
Bauchi,580,26.79213867,0.0957015,18,isda,20.10066994,0.0521457,9.00032,0.313584615,0.600888,68,17,isda,isda,6.78507,1.36396,9.92855,10.04393,6.01087
Bauchi,608,25.21032104,0.0967882,18,isda,28.24034356,0.0721401,10.3805,0.386302564,0.882565,62,17,isda,isda,6.49083,1.61861,10.18748,9.73861,5.55668
Bauchi,528,25.99489746,0.146096,19,isda,23.19471352,0.0934325,8.57939,0.449448718,0.927424,59,17,isda,isda,6.95354,1.95826,9.92314,9.96884,6.436
Bauchi,628,25.28875122,0.236989,19,isda,22.2114753,0.0581001,5.9577,0.462176923,0.710391,61,17,isda,isda,14.1391,2.06783,9.84515,9.5495,6.39495
Bauchi,579,25.21032104,0.0322361,19,isda,28.24034356,0.0346628,6.46397,0.260287179,0.490089,64,17,isda,isda,7.15055,1.59865,10.16446,9.69615,6.00693
Bauchi,562,25.99489746,0.0481245,19,isda,23.19471352,0.0473146,3.67119,0.577476923,0.613997,60,17,isda,isda,6.20175,1.52238,9.89423,9.99551,5.66823
Bauchi,574,26.79213867,0.0561304,19,isda,20.10066994,0.101556,3.45947,0.523797436,1.00413,66,17,isda,isda,7.78391,1.58286,9.92969,10.01819,6.12414
Bauchi,607,25.21032104,0.0901299,19,isda,28.24034356,0.043445,8.51904,0.377689744,0.464714,63,17,isda,isda,4.53782,1.49304,10.18679,9.74,5.55166
Bauchi,416,27.86037598,0.00177236,19,isda,11.32951677,0.0231626,3.95458,0.07918359,0.254905,63,17,isda,isda,4.24864,0.884505,10.6944,10.43978,6.27309
Bauchi,415,27.86037598,0.00738483,19,isda,11.32951677,0.0387477,5.08712,0.079979231,0.496064,63,17,isda,isda,4.8925,0.869085,10.69654,10.44351,5.60208
Bauchi,604,25.21032104,0.18843,20,isda,28.24034356,0.0669862,3.25221,0.463117949,0.600659,59,17,isda,isda,26.1901,0.753341,10.20077,9.69903,6.98778
Bauchi,737,24.88936768,0.107763,20,isda,26.83751844,0.0733703,9.93231,0.400466667,0.854636,57,17,isda,isda,6.34498,2.07571,10.24844,9.28355,6.07425
Bauchi,568,26.79213867,0.172708,20,isda,20.10066994,0.0928308,5.22506,0.523797436,0.954056,65,17,isda,isda,6.07629,1.97581,9.92381,10.02215,5.89684
Bauchi,574,26.79213867,0.242499,20,isda,20.10066994,0.057287,14.414,0.313584615,0.746507,63,17,isda,isda,9.65273,1.445,9.92046,10.02765,6.29237
Bauchi,581,25.21032104,0.0236076,20,isda,28.24034356,0.0198641,8.79365,0.298202564,0.256921,62,17,isda,isda,4.67972,1.26379,10.17542,9.71772,5.78938
Bauchi,567,26.79213867,0.0343279,20,isda,20.10066994,0.0461712,5.15262,0.469751282,0.705379,63,17,isda,isda,5.86171,1.48214,9.93197,10.01328,6.52357
Bauchi,546,26.79213867,0.0619744,20,isda,20.10066994,0.0417687,8.71249,0.191286667,0.59792,66,17,isda,isda,6.305,1.19227,9.9678,10.02876,6.55021
Bauchi,633,25.28875122,0.0862239,20,isda,22.2114753,0.0409769,6.68701,0.185452308,0.58054,66,17,isda,isda,5.88143,1.26526,9.8423,9.53956,6.26141
Bauchi,563,26.79213867,0.044774,21,isda,20.10066994,0.0333454,5.853,0.436335897,0.491359,65,17,isda,isda,8.16027,0.635092,9.92626,10.01381,6.31442
Bauchi,590,26.79213867,0.104852,21,isda,20.10066994,0.160257,12.6444,0.397725641,1.3379,62,17,isda,isda,8.02551,1.88357,9.92869,10.03736,6.14359
Bauchi,583,26.79213867,0.0510982,21,isda,20.10066994,0.0945216,15.9632,0.413269231,1.20808,65,17,isda,isda,7.28266,1.70161,9.9088,10.03365,5.46852
Bauchi,547,26.79213867,0.0518315,21,isda,20.10066994,0.0800906,6.8508,0.314030769,0.859157,61,17,isda,isda,7.3606,1.65265,9.91,10.00211,5.93308
Bauchi,603,25.21032104,0.0449778,22,isda,28.24034356,0.0823408,8.0647,0.403769231,0.893429,60,17,isda,isda,8.10724,1.69151,10.20252,9.70035,5.89757
Bauchi,502,27.07485352,0.0175098,17,isda,12.77913339,0.0398787,2.45749,0.025462872,0.4284,66,18,isda,isda,7.01452,1.16027,11.2503,9.1727,6.09289
Bauchi,571,26.79213867,0.0481037,17,isda,20.10066994,0.0475927,10.3574,0.214925897,0.484567,66,18,isda,isda,6.24072,1.53215,9.89411,10.00029,5.76276
Bauchi,526,26.23922119,0.0609996,17,isda,16.78643748,0.0754521,6.33697,0.112152308,0.655437,65,18,isda,isda,5.23457,1.0713,11.24023,9.11245,5.80628
Bauchi,541,25.99489746,0.0624764,17,isda,23.19471352,0.0697324,3.59877,0.254165128,0.715968,69,18,isda,isda,17.8066,1.34704,9.954,9.98441,5.42555
Bauchi,419,27.86037598,0.00492417,17,isda,11.32951677,0.0260983,4.33497,0.139504872,0.416118,67,18,isda,isda,4.70612,1.35432,10.68614,10.41471,6.22709
Bauchi,603,25.21032104,0.17983,18,isda,28.24034356,0.0539828,5.41244,0.320817949,0.380899,58,18,isda,isda,10.2381,1.23416,10.19787,9.69868,6.61236
Bauchi,409,27.86037598,0.0126916,18,isda,11.32951677,0.0343354,6.49311,0.102114615,0.640627,65,18,isda,isda,5.63255,1.38338,10.68233,10.41875,6.05351
Bauchi,734,24.88936768,0.0209808,18,isda,26.83751844,0.0370881,8.67002,0.248748718,0.409101,60,18,isda,isda,5.46081,1.23444,10.22879,9.29716,5.53437
Bauchi,489,27.07485352,0.0270844,18,isda,12.77913339,0.0352553,3.6517,0.285946154,0.702748,62,18,isda,isda,5.42749,1.35967,11.2768,9.10331,6.47498
Bauchi,403,27.86037598,0.0272323,18,isda,11.32951677,0.133877,4.65653,0.269510256,1.52119,63,18,isda,isda,8.78921,2.214,10.67523,10.41264,4.847
Bauchi,528,26.23922119,0.0288686,18,isda,16.78643748,0.0503514,2.75003,0.027710769,0.50932,63,18,isda,isda,6.8695,0.692573,11.21895,9.12867,6.00377
Bauchi,516,26.23922119,0.0334996,18,isda,16.78643748,0.044494,4.53676,0.284702564,0.714113,63,18,isda,isda,6.94404,1.09441,11.23896,9.15985,5.53192
Bauchi,733,24.88936768,0.0724549,18,isda,26.83751844,0.0619577,8.65575,0.386302564,0.768993,61,18,isda,isda,6.50837,1.40292,10.23168,9.29948,6.4613
Bauchi,611,25.21032104,0.100007,19,isda,28.24034356,0.0309215,3.67503,0.333576923,0.516854,63,18,isda,isda,8.41377,1.73857,10.18689,9.74276,6.20163
Bauchi,546,25.99489746,0.130899,19,isda,23.19471352,0.0888575,10.624,0.409787179,0.803423,63,18,isda,isda,5.51016,1.57493,9.96158,9.99066,6.5315
Bauchi,414,27.86037598,0.0078814,19,isda,11.32951677,0.0255522,3.61364,0.103537692,0.426824,60,18,isda,isda,4.89434,0.729414,10.69811,10.44466,6.39308
Bauchi,429,27.86037598,0.0101231,19,isda,11.32951677,0.0339193,4.31187,0.05178359,0.384594,65,18,isda,isda,4.61556,0.927404,10.69119,10.42112,5.9425
Bauchi,411,27.86037598,0.0212197,19,isda,11.32951677,0.0277642,4.99801,0.104368974,0.67111,67,18,isda,isda,5.18251,1.22541,10.68324,10.41456,6.42955
Bauchi,580,25.21032104,0.0227976,19,isda,28.24034356,0.0220592,5.07417,0.235862821,0.29302,64,18,isda,isda,3.78035,1.0098,10.17647,9.70412,5.98253
Bauchi,603,25.21032104,0.0284554,19,isda,28.24034356,0.0336959,19.9873,0.224472821,0.418832,65,18,isda,isda,4.82431,1.05492,10.18304,9.7396,6.37736
Bauchi,588,25.21032104,0.0441719,19,isda,28.24034356,0.0276579,14.5571,0.298202564,0.437802,65,18,isda,isda,6.30121,1.08608,10.17433,9.71995,6.15658
Bauchi,580,25.21032104,0.0658172,19,isda,28.24034356,0.051055,9.13712,0.411674359,0.464093,62,18,isda,isda,5.02941,1.29171,10.19295,9.71223,5.83775
Bauchi,395,27.86037598,0.0789426,19,isda,11.32951677,0.121547,5.24057,0.350687179,1.17918,65,18,isda,isda,7.00108,1.96706,10.67385,10.41616,5.86888
Bauchi,437,27.86037598,0.00826422,19,isda,11.32951677,0.0271168,6.93496,0.088987692,0.471982,67,18,isda,isda,4.13236,1.54991,10.69511,10.41968,6.04062
Bauchi,530,26.23922119,0.176412,20,isda,16.78643748,0.0941555,18.4091,0.569635897,1.80007,56,18,isda,isda,8.02703,2.48971,11.24812,9.14266,6.67073
